,Name,Address,Website,Phone Number,Social Page,Social Page,Price Pdf link
46,Old Saco Inn,"125 Old Saco Lane, Fryeburg, ME", ,(207) 925-3737,https://www.facebook.com/oldsacoinn/,https://www.facebook.com/oldsacoinn/,https://pricing-sheets.s3.amazonaws.com/6e0e78d3-a34f-4462-a899-2a7572e38c3e/654cc5520175706a39bbf9297ecbaaf9eb4178b7/507a49e4-4cff-45da-8b50-7184824dddf5
47,Thistledown Farm,"Waldoboro, ME", ,(207) 832-9908,http://thistledownfarmmaine.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, , 
48,Island Pond Event Center,"350 Island Pond Rd, Harrison, ME",http://www.islandpondevents.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 583-2381,https://www.facebook.com/FernwoodCove,http://www.twitter.com/FernwoodCove, 
49,Old Marsh Country Club,"445 Club House Road, Wells, ME",http://www.oldmarshcountryclub.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 251-4653,https://www.facebook.com/OldMarshCC,http://www.instagram.com/OldMarshCC,https://pricing-sheets.s3.amazonaws.com/799a5a1e-838b-4024-b038-a09b001bc889/4d583cd48d36466fea9c78a76d9057d4e5c748d8/3a5e290c-9de0-49d0-ab51-a1ee416231c9
50,Union Hall,"24 Central St., Rockport, ME",http://www.unionhallrockport.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 706-7990,https://www.facebook.com/unionhallrockport/,http://www.instagram.com/https://www.instagram.com/bayviewcollection/,https://pricing-sheets.s3.amazonaws.com/b1c01e68-52b7-4072-a9d7-a6cd4943ca11/f2cf232d2d161c9a1db9490c61b153a32bb41052/26f5d34c-57b6-450d-a4bf-654b9d810bd3
51,The Hive Farm & Wedding Barn,"264 Passaconaway Rd., Waterford, ME", ,(978) 404-9542,https://www.thehiveweddings.com/our-properties.html, ,https://pricing-sheets.s3.amazonaws.com/49e431ba-2587-4f9f-be98-382f16571a46/3952dd33213e635a76fc4325ee4fb922ba1dd082/b59cd75e-2d4c-4994-8655-55da11f00909
52,16 Bay View Hotel,"16 Bay View Street, Camden, ME",http://www.twitter.com/16bayview,(207) 706-7990,https://www.facebook.com/16bayview/,http://www.twitter.com/16bayview,https://pricing-sheets.s3.amazonaws.com/442c8595-2771-41a8-97d4-7a3441ea5786/624cb9afceaf95e6af2731256224ee2150937ca6/97906b33-fb7d-4ca1-93df-19f97bc667b9
53,Rising Tide Brewing Company,"103 Fox St, Portland, ME",https://risingtidebrewing.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 200-4344,https://www.facebook.com/risingtidebeer,http://www.instagram.com/risingtidebeer, 
54,The Public Works,"52 Alder Street, Portland, ME", ,(207) 303-5267,http://www.instagram.com/the_public_works_events,http://www.instagram.com/the_public_works_events,https://pricing-sheets.s3.amazonaws.com/04a37a23-6aca-4cea-b708-c1383e71a25b/8c57bef9934898ed45574c4ee5679c8008ec9e85/656b9fc7-e454-48a0-923c-1a5e74c7ed03
55,The Hive at Birch Ridge Estate,"176 Merrill Rd, Brownfield, ME", ,(978) 404-9542,https://www.thehiveweddings.com/whats-provided.html?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, , 
56,Purpoodock Club,"300 Spurwink Ave, Cape Elizabeth, ME", ,(207) 799-2273,https://www.facebook.com/pages/Purpoodock-Club/136508833045273,https://www.facebook.com/pages/Purpoodock-Club/136508833045273, 
57,Boothbay Railway Village,"586 Wiscasset Rd, Boothbay, ME", ,(207) 671-7676,http://railwayvillage.org/visit/weddings-private-events/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, , 
58,Lake George Regional Park,"10 Main Street, Canaan, ME", ,(207) 474-1292,http://lakegeorgepark.org/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, , 
59,Long Lake Sporting Club,"48 sinclair rd, Sinclair, ME", ,(207) 543-7584, , , 
60,Lyons Lakeside Cabins,"5 Lyons Ln, Rangeley, ME",https://lyonslakeside.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 864-5899,https://www.facebook.com/lyonslakesidecabins/,http://www.instagram.com/lyonslakeside,https://pricing-sheets.s3.amazonaws.com/8ea584e5-12a8-4e8e-8f5c-12e24d0c3145/aea4449106c6c5d8e59ff7b728730d4fcfdf63f5/b386d31a-3a57-4a46-8381-3525705b5f13
61,Coolidge Family Farm,"New Gloucester, ME", ,207.671.7479, , , 
62,Foss Point at West Branch Farms,"180 West Kennebec Road, Machias, ME", ,(512) 658-9559,http://www.instagram.com/FossPointWeddings,http://www.instagram.com/FossPointWeddings,https://pricing-sheets.s3.amazonaws.com/e75bdf05-3eb7-4a47-a007-38e8d418d393/c2d493cd6f6f3619c3f9c99fc1d01140406f57cc/d5a66454-8d9b-4989-a788-1a77b55fdff2
63,Turner Farm,"73 Turner Farm Rd, North Haven, ME",http://www.instagram.com/_turnerfarm_,(207) 867-4962,https://www.facebook.com/turnerfarm?ref=hl,http://www.instagram.com/_turnerfarm_, 
64,The Mooring Bed and Breakfast,"132 Seguinland RD, Georgetown, ME", ,(207) 371-2790,https://www.facebook.com/TheMooringBedBreakfast/,https://www.facebook.com/TheMooringBedBreakfast/, 
65,Oxbow Beer Garden,"420 Main St, Oxford, ME",http://oxbowbeer.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 539-5178,http://www.facebook.com/oxbowbeer,http://www.instagram.com/oxbowbrewingcompany, 
66,Wentworth Event Center,"139 Searsport Ave, Belfast, ME",http://wentwortheventcenter.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 249-6903,https://www.facebook.com/TheWentworthEventCenter,http://www.instagram.com/@wentwortheventcenter, 
67,Barton Family Farm,"503 West Fryeburg Rd, Fryeburg, ME",http://www.bartonfamilyfarm.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 615-4100,https://www.facebook.com/bartonfamilyfarm,http://www.instagram.com/bartonfamilyfarm, 
68,Vinegar Hill Farm,"53 Old Post Rd, Arundel, ME",https://vinegarhillmusictheatre.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 771-0300,https://www.facebook.com/vinhillmusic/,http://www.instagram.com/https://www.instagram.com/vinegarhillmusictheatre/,https://pricing-sheets.s3.amazonaws.com/3124fa0e-8bb7-4d65-b182-52ec221b9d95/0f2cef0165bbd4aab7514d1d25518334bd4f2b08/ec33a935-e1fc-4ce2-ab1f-21514061f2dc
69,Migis Lodge,"30 Migis Lodge Road, South Casco, ME",http://www.migis.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 655-4524,https://www.facebook.com/MigisLodge/,http://www.instagram.com/migislodge,https://pricing-sheets.s3.amazonaws.com/ed464997-b567-46a1-91f4-a31acdd51b1b/20dcdda71f3bea7f212d3dff5c7c0fab98616e7c/245808cd-5e66-4abe-b664-299eeff65405
70,Harraseeket Inn,"162 Main Street, Freeport, Maine, ME",http://www.twitter.com/https://twitter.com/TheHarraseeket,(207) 865-9377 ext. 439,https://www.facebook.com/harraseeketinn,http://www.twitter.com/https://twitter.com/TheHarraseeket,https://pricing-sheets.s3.amazonaws.com/ca8c3433-fa65-467c-b76c-a3e900ffd2d0/580b71e3ba05ba44d67768013f29076f0808b49a/c11d1356-93ac-497e-a3ad-695feed53753
71,Sennebec Farm Weddings and Events,"323 Sennebec Rd, Union, ME", ,(207) 671-0488,https://www.facebook.com/SennebecFarm/,https://www.facebook.com/SennebecFarm/,https://pricing-sheets.s3.amazonaws.com/74cb0a96-2f7a-410b-940e-cb2e5d00f2f3/817e947b7ebccb0b42f3fe3c8d6bc8ac28c61434/6e61a43e-5468-4a76-ba15-3c3b1ef3913c
72,Tea Pond Lodge & Cabins,"Tea Pond Rd, Eustis, ME",http://www.sportingcampsmaine.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 670-3009,https://www.facebook.com/teapondlodge&cabins,http://www.instagram.com/https://www.instagram.com/tea_pond_lodge_cabins,https://pricing-sheets.s3.amazonaws.com/63d3867b-44b6-45c0-9170-606df26db3bd/4e2244a6e2c66bbed2bec20263afb6c3c43ab1da/1be72766-29ca-42fb-8702-1a4cf508969f
73,The Hive Lake View at Stone Mountain Lodge,"285 Spring Street, Brownfield, ME", ,(978) 404-9542,http://www.instagram.com/Thehivelogandlakehomes,http://www.instagram.com/Thehivelogandlakehomes,https://pricing-sheets.s3.amazonaws.com/ba6f2654-f396-4bbf-8fe1-15b4de847e7d/a28adb9127d1605a2df80fc227990bb882884822/b59cd75e-2d4c-4994-8655-55da11f00909
74,King's Hill Inn & Barn,"56 King Hill Road, South Paris, ME",http://www.twitter.com/kingshillinn,(207) 744-0204,https://www.facebook.com/kingshillinn,http://www.twitter.com/kingshillinn,https://pricing-sheets.s3.amazonaws.com/65005c63-4a10-4587-ae5c-a294006eafd4/42e4a1474c998c578d17d7e14799dc8ef08f38b5/39d37e2d-f4d8-417a-89a3-6b3409d60e7b
75,Bald Mountain Camps,"125 Bald Mountain Rd, Oquossoc, ME",http://www.baldmountaincamps.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(120) 786-43671,https://www.facebook.com/baldmountaincampsresort/,http://www.instagram.com/instagram.com/baldmountaincampsresort,https://pricing-sheets.s3.amazonaws.com/f8fb4c87-3456-4952-a084-2130c18b61df/30ff9eca6d69c083b82b16ed884d4eada2f978c2/49a87059-9f3d-4df9-99af-4f0d3e51031b
76,Rockin' Horse,"245 Arundel Rd, Kennebunkport, ME", ,(207) 967-4288,https://www.facebook.com/Rockin-Horse-336861386332432,https://www.facebook.com/Rockin-Horse-336861386332432,https://pricing-sheets.s3.amazonaws.com/536fc302-aa35-48aa-9215-1d9a8a3d4523/f482f1d91996d11543958dba004a940cbfbc9890/81c55629-6757-4213-ad51-ab8b68c13c1a
77,Black Point Inn,"510 Black Point Road, Scarborough, ME",http://www.blackpointinn.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 883-2500 ext. 650,https://www.facebook.com/blackpointinn,http://www.twitter.com/BlackPointInn, 
78,Black Bear Inn and Conference Center,"4 Godfrey Dr, Orono, ME",https://www.facebook.com/blackbearinn,(207) 866-7120,https://www.facebook.com/blackbearinn,http://www.twitter.com/BlackBearOrono,https://pricing-sheets.s3.amazonaws.com/676eec16-65e2-4943-b121-9e150122d60a/59dff0496f460d0dd871805b4f00c173e5c73cad/1cee7f27-b824-4b74-bb51-93f2a62ba023
79,Nicatous Lodge and Cabins,"Nicatous Stream Rd, Greenbush, ME", ,(978) 495-2557,https://www.facebook.com/Nicatous-Lodge-160990887270596/?ref=page_internal,https://www.facebook.com/Nicatous-Lodge-160990887270596/?ref=page_internal,https://pricing-sheets.s3.amazonaws.com/68405d8d-0d9e-472c-9660-babddf937733/ac3d9761dc348c9b77fd6c422ece0602add91232/2803d781-feaf-4ca8-90c2-cc9fffb6472f
80,Maine Maritime Museum,"243 Washington St, Bath, ME", ,(207) 443-1316,https://www.facebook.com/MaineMaritimeMuseum,https://www.facebook.com/MaineMaritimeMuseum, 
81,Wells Reserve at Laudholm,"342 Laudholm Farm Road, Wells, ME",https://www.facebook.com/wellsreserve/,(207) 646-4521 ext. 151,https://www.facebook.com/wellsreserve/,http://www.twitter.com/wellsreserve,https://pricing-sheets.s3.amazonaws.com/f413f44a-6a6d-4d3c-a739-a49000b42f29/3a6b02c1526d9ae248e6d2ab474c84a8d4d1720b/1d5a8f9f-e077-4f13-806d-a02c1a668209
82,The Tortoise and The Mare,"45 barrett rd, Sumner, ME", ,(207) 409-1786,http://www.thetortoiseandthemare.mobi/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, ,https://pricing-sheets.s3.amazonaws.com/da70770c-3a4f-49ef-8165-7d2546e5322c/cac2534b97289ddd7135c20b7033ecf8c1678b94/f278bea9-5eac-4314-9045-4c97f6dffe05
83,This Old Barn,"105 Dennett Road, Dayton, ME", ,(207) 602-8284,https://www.thisoldbarnmaine.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, ,https://pricing-sheets.s3.amazonaws.com/0fe225ba-687b-4195-a5e7-92e5ebb1d312/2ce0a411a5006f46c4e3be0e14efb2098906889e/e07bcd52-19cd-4ef5-be37-21c9af2ada87
84,The Portland Regency Hotel & Spa,"20 Milk Street, Portland, ME",http://www.instagram.com/theportlandregency,(207) 221-5915,https://www.facebook.com/home.php#!/theportlandregency,http://www.instagram.com/theportlandregency,https://pricing-sheets.s3.amazonaws.com/96d90495-a201-4760-b61d-60fdab0bca16/e7d129de26dfd4faf86152a7871aa72f72c54bcf/1d70a99b-e120-4f3d-93d3-a0a4b3deb833
85,Fairytale Gardens and Weddings,"1619 East Madison Rd, Madison, ME 04950, us, Madison, ME", ,(207) 431-4531,https://www.facebook.com/FairytaleGardensandWeddings/,https://www.facebook.com/FairytaleGardensandWeddings/, 
86,Cliff House Maine,"591 Shore Road, Cape Neddick, ME",http://www.twitter.com/cliffhousemaine,(207) 361-6214,https://www.facebook.com/CliffHouseMaine,http://www.twitter.com/cliffhousemaine, 
87,Chebeague Island Inn,"61 South Road, Chebeague Island, ME",http://www.facebook.com/chebeagueislandinn,(207) 846-5155,http://www.facebook.com/chebeagueislandinn,http://www.twitter.com/chebeagueinn,https://pricing-sheets.s3.amazonaws.com/f81a2517-ba28-479b-b19e-407352cc1b77/0132ad77cf8e1f4d65461d69cbced4ec08030bc3/34711c76-1aad-48b8-a091-67bda6273679
88,Memory Lane Event Center,"100 Town Farm Road, Harrison, ME", ,(207) 754-2670,http://facebook/memorylanemaine,http://facebook/memorylanemaine,https://pricing-sheets.s3.amazonaws.com/aa954c5e-a3bb-44a0-886b-a76800debac5/03438afd16019cc68366cf1cdff9e803753339fe/942b7316-dde9-4521-a395-8ba93ae49bb3
89,Nonesuch River Brewing,"201 Gorham Rd, Scarborough, ME",https://nonesuchriverbrewing.com/?&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 219-8948,https://www.facebook.com/Nonesuch-River-Brewing-Company-LLC-715365338561799/,http://www.instagram.com/https://www.instagram.com/nonesuchriverbrewing/, 
90,Royal River Orchards,"181 Peacock Hill Road, New Gloucester, ME", ,(207) 625-4756,https://royalriverfarmweddings.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, , 
